Symbol key,Concrete symbol name,Library,Symbol source,Pin evidence status,Footprint dependency,Instance refs,Allowed action,Blocked action,Freeze close evidence
HS_CTRL,PB100_TPS48110AQDGXRQ1_PRELIM,PB100,https://www.ti.com/product/TPS4811-Q1/part-details/TPS48110AQDGXRQ1,Extracted from official TI datasheet; preliminary symbol created,DGX-19 custom footprint,U101..U110,Review project-local schematic symbol against datasheet before schematic freeze,Do not lock footprint or start PCB layout,All pins mapped to generic output template and ERC clean
OUT_FET,PB100_POWER_NMOS_ESCAPE_PRELIM,PB100,https://assets.nexperia.com/documents/data-sheet/BUK7S1R2-80M.pdf,Extracted from official Nexperia datasheet; preliminary symbol created,LFPAK88 SOT1235 reviewed footprint,Q101..Q110,Review selected 80 V MOSFET symbol and footprint against SOA and thermal evidence,Do not start layout before per-channel SOA and thermal review closes,Selected 80 V package passes per-output SOA thermal and sourcing review
OUT2_ESCAPE_FET,PB100_POWER_NMOS_ESCAPE_PRELIM,PB100,https://assets.nexperia.com/documents/data-sheet/BUK7S1R2-80M.pdf,Extracted from official Nexperia datasheet; preliminary symbol created,LFPAK88 SOT1235 reviewed footprint,Q102 selected,Review OUT2 80 V MOSFET against startup SOA evidence,Do not close OUT2 thermal gate from voltage rating alone,OUT2 startup envelope passes selected BUK7S1R2-80M SOA and thermal review
INPUT_IDEAL_DIODE,PB100_LM74700QDBVRQ1_PRELIM,PB100,https://www.ti.com/product/LM74700-Q1/part-details/LM74700QDBVRQ1,Extracted from official TI datasheet; preliminary symbol created,SOT-23-6 DBV stock candidate,U1,Review project-local controller symbol against datasheet before schematic freeze,Do not change reverse-protection requirement without ADR,Reverse-polarity controller pins and TVS stress notes are reviewed
INPUT_CONNECTOR,PB100_INPUT_CONNECTOR_CLASS_PRELIM,PB100,hardware/power-board/PB-100/PB-100-garage-connector-fuse-plan.md,Internal class pin evidence defined; preliminary symbol created,No PCB footprint unless connector moves on-board,J1,Review connector class symbol after battery connector derating review,Do not move input connector onto PCB without design review,Battery input connector current rating and serviceability are documented
INPUT_REVERSE_FET,PB100_POWER_NMOS_ESCAPE_PRELIM,PB100,https://assets.nexperia.com/documents/data-sheet/BUK7S1R2-80M.pdf,Extracted from official Nexperia datasheet; preliminary symbol created,LFPAK88 SOT1235 reviewed footprint,Q1 selected,Review LFPAK88 MOSFET against package drawing assembly and 40 A thermal rules,Do not start PCB layout before 40 A SOA and thermal review,Gate pin 1 source pins 2-4 mounting-base drain and 40 A thermal path are reviewed
INPUT_TVS,PB100_INPUT_TVS_PRELIM,PB100,https://www.vishay.com/docs/98647/sm8s85ahm3.pdf,Vishay SM8S33AHM3 active branch evidence defined; preliminary symbol created; HE3 is NFD stock-only and MCC SM8S33A source is EOL and not used for MPN lock,DO-218AC or selected TVS footprint,D1,Review TVS class symbol after final TVS MPN selection,Do not use lower-clamp TVS without protection review,Clamp and overshoot margin is checked against all selected devices
LOGIC_BUCK,PB100_LM5164QDDATQ1_PRELIM,PB100,https://www.ti.com/product/LM5164-Q1/part-details/LM5164QDDATQ1,Extracted from official TI datasheet; preliminary symbol created,SO PowerPAD-8 DDA stock/custom verified,U3,Review project-local buck symbol against datasheet before schematic freeze,Do not lock buck before 5 V load budget closes,Input network and regulator values are represented in schematic
LOGIC_BUCK_INDUCTOR,PB100_BUCK_INDUCTOR_CLASS_PRELIM,PB100,hardware/power-board/PB-100/PB-100-logic-power-rail-trace.csv,Internal class pin evidence defined; preliminary symbol created,Footprint depends on selected current ripple and saturation rating,L1,Review inductor class symbol after LM5164 values close,Do not lock footprint before buck design values and saturation margin close,Inductor value current ripple and saturation margin are documented
TOTAL_CURRENT_MONITOR,PB100_INA228_Q1_PRELIM,PB100,https://www.ti.com/product/INA228-Q1,Extracted from official TI datasheet; preliminary symbol created,VSSOP-10 DGS stock candidate,U2,Review project-local monitor symbol against datasheet before schematic freeze,Do not lock INA226 fallback unless voltage range is accepted,0-60 A current range and calibration plan are reviewed
TOTAL_CURRENT_SHUNT,PB100_INPUT_SHUNT_PRELIM,PB100,https://www.bourns.com/docs/product-datasheets/css4j-4026.pdf,0.5mΩ four-terminal shunt evidence defined; preliminary symbol created,Selected 4-terminal shunt footprint,RSH1,Review class symbol after shunt value and power-package selection,Do not use 2-terminal shunt symbol for total input current,0.5mΩ power dissipation and Kelvin routing assumptions are reviewed
THERMAL_NTC,PB100_THERMAL_NTC_PRELIM,PB100,https://product.tdk.com/en/search/sensor/ntc/chip-ntc-thermistor/info?part_no=NTCGS103JF103FT8,10k 150C AEC-Q200 NTC evidence defined; preliminary symbol created,0402 passive footprint,RT1..RT3,Review NTC symbol and divider after value/B-curve selection,Do not reduce required three thermal points without ADR,ADC mapping derating thresholds and TDK candidate evidence are reviewed
BOARD_ID_RESISTOR,PB100_BOARD_ID_RESISTOR_CLASS_PRELIM,PB100,hardware/power-board/PB-100/PB-100-b2b-interface-trace.csv,Internal class pin evidence defined; preliminary symbol created,KiCad stock passive footprint after values are selected,RID1,Review resistor-network class symbol after board revision coding closes,Do not depend on board ID without tolerance review,Board revision coding and tolerance are reviewed
TEST_POINT,PB100_TEST_POINT_CLASS_PRELIM,PB100,docs/testing/test-plan.md,Internal class pin evidence defined; preliminary symbol created,Footprint depends on accessibility and enclosure constraints,TP1..TPn,Review test point class symbol after schematic review defines exact count,Do not place test points or board outline before schematic freeze,Exact test point count is derived from schematic review
B2B_CONNECTOR,PB100_JPB1_100PIN_PRELIM,PB100,https://www.hirose.com/product/p/CL0579-0034-1-00,Hirose FX18 100-position 0.8mm candidate evidence defined; preliminary symbol created,Vendor-specific FX18 footprint after drawing review,JPB1,Review connector symbol against FX18-100P-0.8SV10 and FX18-100S-0.8SV20 drawings,Do not place connector or board outline before schematic freeze,Final pair MPN JPB1 pin assignment and LB-100 binding review are closed
OUTPUT_CONNECTOR,PB100_OUTPUT_CONNECTOR_CLASS_PRELIM,PB100,https://www.te.com/en/products/connectors/automotive-connectors/intersection/deutsch-dtp-connectors.html,Internal class pin evidence defined; preliminary symbol created,No PCB footprint unless connector moves on-board,J101..J110,Review connector class symbol after garage connector derating review,Do not move garage connectors onto PCB without design review,Connector current derating and wire gauge are documented
OUTPUT_FUSE_HOLDER,PB100_OUTPUT_FUSE_CLASS_PRELIM,PB100,hardware/power-board/PB-100/PB-100-garage-connector-fuse-plan.md,Internal class pin evidence defined; preliminary symbol created,No PCB footprint unless fuse holder moves on-board,F101..F110,Review fuse class symbol after garage fuse holder and fuse-format review,Do not move fuse holders onto PCB without design review,Per-output fuse values and installation access are documented
MAIN_FUSE_HOLDER,PB100_MAIN_FUSE_CLASS_PRELIM,PB100,https://www.littelfuse.com/products/fuses-overcurrent-protection/fuse-holders-fuse-blocks-accessories/fuse-holders/in-line-fuse-holders/maxi-152/01520003u,Internal class pin evidence defined; preliminary symbol created,No PCB footprint for inline garage holder,F_MAIN,Review fuse class symbol after garage fuse-holder final selection,Do not remove near-battery main fuse requirement without ADR,50 A holder rating and installation distance are documented
CAN1_TX_DISABLE,PB100_CAN1_TX_DISABLE_PRELIM,PB100,hardware/power-board/PB-100/PB-100-can1-tx-disable-trace.csv,Internal class pin evidence defined; preliminary symbol created,DNP 0 ohm link or default-open jumper,JP_CAN1/U_CAN1,Keep default-open DNP schematic symbol visible,Do not create populated CAN1 TX path without future ADR,DNP/open TX route and disabled-status readback are ERC clean
CAN1_PHY,PB100_TJA1051TK3_CAN_PHY_PRELIM,PB100,https://www.nxp.com/docs/en/data-sheet/TJA1051.pdf,Extracted from official NXP datasheet; preliminary symbol created,HVSON-8-EP reviewed footprint,U_CAN1_PHY,Review selected physical transceiver pinout supply sequencing and silent behavior,Do not bypass JP_CAN1 or populate JP_CAN1_NORMAL without future ADR,TXD RXD silent VCC VIO CANH CANL GND and exposed pad topology are exported and audited
CAN1_ESD,PB100_ESD2CANFD24_Q1_PRELIM,PB100,https://www.ti.com/lit/ds/symlink/esd2can24-q1.pdf,Extracted from official TI datasheet; preliminary symbol created,DBZ SOT-23-3 reviewed footprint,D_CAN1,Review selected physical ESD pinout clamp capacitance and harness-entry placement,Do not substitute ESD family without clamp bandwidth and pin-map review,CANH CANL and GND topology are exported and audited
